City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
116,Lhokseumawe,5.1801,97.1507,78.24,85,10,5.35,ID,clear sky
117,Eyl,7.9803,49.8164,76.3,72,48,12.55,SO,scattered clouds
118,Pa Sang,18.5262,98.9394,80.85,43,20,1.3,TH,few clouds
119,Port Lincoln,-34.7333,135.8667,64.33,84,24,6.93,AU,few clouds
120,Shellbrook,53.2168,-106.4011,22.23,83,98,10.02,CA,overcast clouds
121,Pochutla,15.7432,-96.4661,87.82,47,100,7.4,MX,overcast clouds
122,Inyonga,-6.7167,32.0667,68.18,87,100,4.09,TZ,overcast clouds
123,Donskoye,45.4552,41.9741,32.31,73,79,19.42,RU,broken clouds
124,Coxim,-18.5067,-54.76,79.32,79,50,3.44,BR,scattered clouds
125,Batagay,67.6333,134.6333,-9.0,97,48,4.0,RU,scattered clouds
126,Zapolyarnyy,69.4154,30.8136,7.88,98,65,3.09,RU,broken clouds
127,Ambon,-3.6954,128.1814,75.34,94,20,3.44,ID,light rain
128,Sao Sepe,-30.1606,-53.5653,69.42,59,0,4.14,BR,clear sky
129,Kayerkan,69.3497,87.7602,4.71,97,99,5.3,RU,overcast clouds
130,Kalmunai,7.4167,81.8167,78.48,84,21,3.89,LK,few clouds
131,Bogorodskoye,56.55,37.8833,18.88,84,100,13.31,RU,overcast clouds
132,Clyde River,70.4692,-68.5914,-3.77,84,75,5.75,CA,broken clouds
133,Ponta Do Sol,32.6667,-17.1,64.06,79,15,4.92,PT,few clouds
134,Tuktoyaktuk,69.4541,-133.0374,-7.6,64,0,9.22,CA,clear sky
135,San Patricio,28.017,-97.5169,86.18,39,100,17.18,US,overcast clouds
136,Dhidhdhoo,6.8833,73.1,82.29,71,15,5.61,MV,few clouds
137,Berlevag,70.8578,29.0864,17.4,73,100,6.35,NO,light snow
138,Inuvik,68.3499,-133.7218,7.66,43,0,3.44,CA,clear sky
139,Amahai,-3.3333,128.9167,77.67,84,100,3.58,ID,light rain
140,Longyearbyen,78.2186,15.6401,4.84,72,20,11.5,SJ,few clouds
141,Phitsanulok,16.9167,100.5,78.78,68,10,2.3,TH,clear sky
142,Sao Filipe,14.8961,-24.4956,71.02,69,100,9.24,CV,overcast clouds
143,Hofn,64.2539,-15.2082,32.63,72,100,7.96,IS,overcast clouds
144,Syracuse,37.0881,15.2792,58.37,87,54,7.0,IT,broken clouds
145,Shostka,51.863,33.4698,27.25,47,69,13.06,UA,broken clouds
146,Winslow,35.0242,-110.6974,78.98,8,0,14.97,US,clear sky
147,Sulangan,11.1373,123.7228,80.55,80,48,10.78,PH,scattered clouds
148,Deputatskiy,69.3,139.9,-9.69,87,42,4.36,RU,scattered clouds
149,Freeport,40.6576,-73.5832,40.46,58,100,20.71,US,overcast clouds
150,Swellendam,-34.0226,20.4417,70.29,50,28,2.91,ZA,scattered clouds
151,Mar Del Plata,-38.0023,-57.5575,66.22,63,0,8.99,AR,clear sky
152,Tasiilaq,65.6145,-37.6368,26.76,81,100,12.35,GL,overcast clouds
153,Tokur,53.1333,132.9,0.54,94,82,2.04,RU,broken clouds
154,Gunjur,13.2019,-16.7339,68.61,78,100,16.51,GM,overcast clouds
155,Nyurba,63.2842,118.3319,-0.51,100,100,3.11,RU,overcast clouds
156,Katsuura,35.1333,140.3,55.17,80,78,10.74,JP,broken clouds
157,Igunga,-4.2833,33.8833,71.64,69,87,6.04,TZ,overcast clouds
158,Tres Passos,-27.4556,-53.9319,66.07,75,0,4.85,BR,clear sky
159,Sharanga,57.1775,46.5396,18.46,84,100,13.89,RU,overcast clouds
160,Shouguang,36.88,118.7375,40.84,57,58,9.08,CN,broken clouds
