City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Umbauba,BR,75.22,broken clouds,-11.3833,-37.6578,Motel Califórnia
81,Brazzaville,CG,79.16,broken clouds,-4.2658,15.2832,Hotel Muesse
83,Pemangkat,ID,75.74,broken clouds,1.1667,108.9667,Ramah Kost KITA
87,Fomboni,KM,83.5,overcast clouds,-12.28,43.7425,Auberge les abou
88,Guantanamo,CU,83.77,broken clouds,20.1444,-75.2092,Hotel Guantánamo
90,Banjar,ID,77.09,overcast clouds,-8.19,114.9675,The Hamsa Resort
91,Bhadrachalam,IN,79.38,few clouds,17.6667,80.8833,Hotel Srinidhi Residency
95,Takoradi,GH,81.25,broken clouds,4.8845,-1.7554,Raybow International Hotel
97,Morondava,MG,78.84,few clouds,-20.2833,44.2833,La Case Bambou
100,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
105,Atuona,PF,79.07,broken clouds,-9.8,-139.0333,Villa Enata
107,Port Blair,IN,80.74,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Dingle,PH,75.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
114,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
116,Lhokseumawe,ID,78.24,clear sky,5.1801,97.1507,OYO 3278 Penginapan Alfajri
117,Eyl,SO,76.3,scattered clouds,7.9803,49.8164,Amiin Hotel
118,Pa Sang,TH,80.85,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
121,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
124,Coxim,BR,79.32,scattered clouds,-18.5067,-54.76,Hotel Avenida
127,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
130,Kalmunai,LK,78.48,few clouds,7.4167,81.8167,VS Villa
135,San Patricio,US,86.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
136,Dhidhdhoo,MV,82.29,few clouds,6.8833,73.1,Dhidhoo beach
139,Amahai,ID,77.67,light rain,-3.3333,128.9167,HOTEL ISABELA
146,Winslow,US,78.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
147,Sulangan,PH,80.55,scattered clouds,11.1373,123.7228,Maia's Beach Resort
162,Caravelas,BR,76.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
163,Karratha,AU,81.43,light rain,-20.7377,116.8463,ibis Styles Karratha
165,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
